,province,Diesel Usage,open pit Washing Cost automation & labour productivity low,open pit Washing Cost automation & labour productivity medium,open pit Washing Cost automation & labour productivity high,Water Consumption,Underground Washing Cost automation & labour productivity low,Underground Washing Cost automation & labour productivity medium,Underground Washing Cost automation & labour productivity high,Resouce tax,Other Fixed
0,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
1,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
2,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
3,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
4,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
5,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
6,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
7,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
8,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
9,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
10,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
11,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
12,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
13,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
14,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
15,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
16,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
17,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
18,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
19,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
20,Shanxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
21,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
22,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
23,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
24,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
25,Yunnan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
26,Yunnan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
27,Yunnan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
28,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
29,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
30,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
31,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
32,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
33,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
34,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
35,Chongqing,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
36,Chongqing,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
37,Guangxi ,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
38,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
39,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
40,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
41,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
42,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
43,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
44,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
45,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
46,Guangxi,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
47,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
48,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
49,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
50,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
51,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
52,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
53,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
54,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
55,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
56,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
57,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
58,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
59,Guizhou,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
60,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
61,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
62,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
63,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
64,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
65,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
66,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
67,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
68,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
69,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
70,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
71,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
72,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
73,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
74,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
75,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
76,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
77,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
78,Henan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
79,Hubei,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
80,Hunan,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
