mine_id,Build Quality,Infrastructure Included,country_id,Location: Other,New Project or Expansion ?,Finance structure,Mining method,Project risks,Overall probability of success,Impact of new technologies
Mine_97,1. Gold plated,3. Mine+Roads/Rail+Port,country_46,Boke,New,"Company type: independent private company
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: High., Despite Guinea's high risks has maintaned continuous operation via good management
Economic: Low, low and mature operation
Technical: Low, mature mining method
Comm./Env.: Low, accepted company",High,Could use transpaoding to enable Capesize vessel transport
Mine_103,2. Intermediate,3. Mine+Roads/Rail+Port,country_46,0,New,"Company type: ??
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_99,1. Gold plated,3. Mine+Roads/Rail+Port,country_46,Sangeredi,New,"Company type: independent public company
Funding Source: internally funded",Open Cut - Large Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., infractructure costs are likely very
Technical: Low., no new technical challenges
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department","Med., finishing the project ontime and with good cost management would be the key issue. Despite high costs the project owner will likely proceed",0
Mine_98,2. Intermediate,2. Mine+Roads/Rail,country_46,0,Existing Opn.,"Company type: (JV Rusal and Guinea Gvt ?)
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_102,2. Intermediate,2. Mine+Roads/Rail,country_46,0,Existing Opn.,"Company type: (JV Rusal and Guinea Gvt ?)
Funding Source: ??",0,"Sovereign: ??
Economic: ??
Technical: ??
Comm./Env.: ??",0,??
Mine_100,1. Gold plated,3. Mine+Roads/Rail+Port,country_46,Bel Air,New,"Company type: Wholly owned subsidiary of the private company Alufer Mining Limited
Funding Source: Variety
Other comments: Financing period is not over.",Open Cut - Medium Scale,"Sovereign: High, tend to have the government support
Economic: Med., high quality bauxite but poor infrastructure
Technical: Med.,
Comm./Env.: High, Ebola virus disease
Other: The financing progress is still limited",Med. We still see little confidence of international investors in African counties like Guinea,Extension of initial loading facilities could expansion of capacity to >10 MTPY & enable Capesize vessel loading
Mine_111,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,North-West of Vanua Levu,New,"Company type: owned subsidiary
Funding Source: internally funded",Open Cut - Small Scale,"Sovereign: Low, subsidiary of Xinfa and government support
Economic: Med., little insfrastructure and wholly new business in the region
Technical: Low, low technology barrier
Comm./Env.: Med., Env protection pressure as in other countries","Med., the reserve and mining cost would be the key issue",0
Mine_101,2. Intermediate,3. Mine+Roads/Rail+Port,country_46,0,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Large Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_108,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,Boffa - Koniokhoure,New,Company type: SOE,Open Cut - Large Scale,"Sovereign: High, but has government support
Economic: Med., high quality bauxite but poor infrastructure
Technical: Med.,
Comm./Env.: High, Ebola virus disease
Other: The financing progress is still limited",Med.,0
Mine_105,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_155,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_156,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_104,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_93,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
Mine_106,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,country_46,??,New,"Company type: independent private company,
Funding Source: not finalised
",Open Cut - Medium Scale,"Sovereign: High., the changeable government influence might accur in the project
Economic: High., unless infractructure costs can be shared they are likley to be insurmountable
Technical: Low., no new issues
Comm./Env.: Med., Communities in Guinea can be very demanding, need support from Govt. Comm. and Env. department",Low.,0
