Country,country_id
China,country_1
Canada,country_2
Bahrain,country_3
Brazil,country_4
Venezuela ,country_5
Spain,country_6
Netherlands,country_7
Iran,country_8
Romania,country_9
Argentina,country_10
Cameroon,country_11
Bosnia,country_12
Greece,country_13
South Africa,country_14
Azerbaijan,country_16
Australia,country_17
Russia,country_18
USA,country_19
UAE,country_20
Egypt,country_21
Norway,country_22
Turkey,country_23
India,country_24
Germany,country_25
Indonesia,country_26
Iceland,country_28
Montenegro,country_29
Sweden,country_30
France,country_31
UK,country_32
Saudi Arabia,country_33
Mozambique,country_34
New Zealand,country_35
Kazakhstan,country_36
Malaysia,country_37
Qatar,country_38
Slovakia,country_39
Oman,country_40
Tajikistan,country_41
Slovenia,country_42
Ghana,country_43
Algeria,country_44
Austria,country_45
Bangladesh,country_46
Belarus,country_47
Belgium,country_48
Benin,country_49
Bolivia,country_50
Bosnia & Herzegovina,country_51
Bulgaria,country_52
Cayman Islands,country_53
Ceuta,country_54
Chile,country_55
Colombia,country_56
Croatia,country_57
Cuba,country_58
Czech Republic,country_59
Denmark,country_60
Ecuador,country_61
Finland,country_62
FTZ-Yumurtalik,country_63
Georgia,country_64
Guatemala,country_65
Guinea,country_66
Hungary,country_67
Iraq,country_68
Ireland,country_69
Israel,country_70
Italy,country_71
Japan,country_72
Kenya,country_73
"Korea, South",country_74
Kuwait,country_75
Latvia,country_76
Lebanon,country_77
Luxembourg,country_78
Macedonia,country_79
Mexico,country_80
Moldova,country_81
Morocco,country_82
Nepal,country_83
Nicaragua,country_84
Nigeria,country_85
Papua New Guinea,country_86
Peru,country_87
Philippines,country_88
Poland,country_89
Portugal,country_90
Senegal,country_91
Serbia,country_92
Sri Lanka,country_93
Sudan,country_94
Switzerland,country_95
Taiwan,country_96
Tanzania,country_97
Thailand,country_98
Ukraine,country_99
United Arab Emirates,country_100
United Kingdom,country_101
United States,country_102
Uruguay,country_103
Uzbekistan,country_104
Venezuela,country_105
Vietnam,country_106
Jamaica,country_107
Guyana,country_108
Trinidad & Tobago,country_110
Sierra Leone,country_111
Pakistan,country_112
Solomon Islands,country_113
Hong Kong,country_114
Singapore,country_117
Hong Kong,country_120
Estonia,country_128
Suriname,country_129
Not Determin Extra EU Trade,country_133
Niger,country_134
Madagascar,country_135
Fiji,country_136
Laos,country_137
Other,country_138
Seaborne,country_139
China Portion,country_140
Dominic Republic,country_141
Australia-Weipa,country_142
Guinea_Local,country_144
Guinea_ExPat_CBG,country_145
Guinea_ExPat_SMB,country_146
Guinea-Bissau,country_147
Republic of Korea,country_148
China-Chongqing,country_149
China-Guangxi,country_150
China-Guizhou,country_151
China-Henan,country_152
China-Hubei,country_153
China-Hunan,country_154
China-Shanxi,country_155
China-Yunnan,country_156
