daily_price_data_id,date,cbixusd,daybeforecbx,elementdatayear,elementdatamonth,elementdataday
1,40725.0,50.95739871,0,2011,7,1
2,40726.0,50.95739871,0,2011,7,2
3,40727.0,50.95739871,0,2011,7,3
4,40728.0,44.48672242,0,2011,7,4
5,40729.0,45.26572851,0,2011,7,5
6,40730.0,45.34503666,0,2011,7,6
7,40731.0,46.02090442,0,2011,7,7
8,40732.0,45.85192683,0,2011,7,8
9,40733.0,45.85192683,0,2011,7,9
10,40734.0,45.85192683,0,2011,7,10
11,40735.0,46.77131137,0,2011,7,11
12,40736.0,45.53381705,0,2011,7,12
13,40737.0,47.15140021,0,2011,7,13
14,40738.0,47.05127833,0,2011,7,14
15,40739.0,47.06827848,0,2011,7,15
16,40740.0,47.06827848,0,2011,7,16
17,40741.0,47.06827848,0,2011,7,17
18,40742.0,48.24170387,0,2011,7,18
19,40743.0,48.10192466,0,2011,7,19
20,40744.0,47.36762846,0,2011,7,20
21,40745.0,47.39866065,0,2011,7,21
22,40746.0,45.93053978,0,2011,7,22
23,40747.0,45.93053978,0,2011,7,23
24,40748.0,45.93053978,0,2011,7,24
25,40749.0,45.63635626,0,2011,7,25
26,40750.0,46.30858862,0,2011,7,26
27,40751.0,45.76957535,0,2011,7,27
28,40752.0,45.60726827,0,2011,7,28
29,40753.0,45.8529335,0,2011,7,29
30,40754.0,45.8529335,0,2011,7,30
31,40755.0,45.5485455,0,2011,7,31
32,40756.0,45.8147044,0,2011,8,1
33,40757.0,44.96473228,0,2011,8,2
34,40758.0,45.69907826,0,2011,8,3
35,40759.0,45.41810747,0,2011,8,4
36,40760.0,46.11684162,0,2011,8,5
37,40761.0,45.8862963,0,2011,8,6
38,40762.0,45.9551313,0,2011,8,7
39,40763.0,45.9551313,0,2011,8,8
40,40764.0,46.35956323,0,2011,8,9
41,40765.0,45.94738204,0,2011,8,10
42,40766.0,46.43193079,0,2011,8,11
43,40767.0,46.11374197,0,2011,8,12
44,40768.0,46.15167165,0,2011,8,13
45,40769.0,46.12925564,0,2011,8,14
46,40770.0,46.31321105,0,2011,8,15
47,40771.0,45.81690767,0,2011,8,16
48,40772.0,45.09659161,0,2011,8,17
49,40773.0,44.57152996,0,2011,8,18
50,40774.0,45.17254304,0,2011,8,19
51,40775.0,45.10702466,0,2011,8,20
52,40776.0,45.99399702,0,2011,8,21
53,40777.0,45.96719424,0,2011,8,22
54,40778.0,45.96719424,0,2011,8,23
55,40779.0,45.44511765,0,2011,8,24
56,40780.0,44.89215068,0,2011,8,25
57,40781.0,45.47918594,0,2011,8,26
58,40782.0,45.61903489,0,2011,8,27
59,40783.0,45.37624123,0,2011,8,28
60,40784.0,45.65584875,0,2011,8,29
61,40785.0,45.65584875,0,2011,8,30
62,40786.0,46.08185182,0,2011,8,31
63,40787.0,46.95231964,0,2011,9,1
64,40788.0,46.18539094,0,2011,9,2
65,40789.0,46.31220624,0,2011,9,3
66,40790.0,45.74272742,0,2011,9,4
67,40791.0,46.56979469,0,2011,9,5
68,40792.0,46.60200146,0,2011,9,6
69,40793.0,46.51618104,0,2011,9,7
70,40794.0,46.21887046,0,2011,9,8
71,40795.0,46.28449797,0,2011,9,9
72,40796.0,46.28449797,0,2011,9,10
73,40797.0,45.90126123,0,2011,9,11
74,40798.0,45.90126123,0,2011,9,12
75,40799.0,46.81352852,0,2011,9,13
76,40800.0,46.15727975,0,2011,9,14
77,40801.0,46.53381819,0,2011,9,15
78,40802.0,46.39309279,0,2011,9,16
79,40803.0,47.0349387,0,2011,9,17
80,40804.0,46.82109232,0,2011,9,18
81,40805.0,46.85430061,0,2011,9,19
82,40806.0,47.11862774,0,2011,9,20
83,40807.0,47.15925845,0,2011,9,21
84,40808.0,47.40904509,0,2011,9,22
85,40809.0,49.35041383,0,2011,9,23
86,40810.0,49.35041383,0,2011,9,24
87,40811.0,49.37400912,0,2011,9,25
88,40812.0,49.6638325,0,2011,9,26
89,40813.0,49.70461647,0,2011,9,27
90,40814.0,49.1711486,0,2011,9,28
91,40815.0,48.73299228,0,2011,9,29
92,40816.0,48.16104527,0,2011,9,30
93,40817.0,48.16412909,0,2011,10,1
94,40818.0,48.80127097,0,2011,10,2
95,40819.0,48.80127097,0,2011,10,3
96,40820.0,48.80127097,0,2011,10,4
97,40821.0,48.16212012,0,2011,10,5
98,40822.0,48.15886591,0,2011,10,6
99,40823.0,48.4286018,0,2011,10,7
100,40824.0,48.90161539,0,2011,10,8
101,40825.0,48.09884701,0,2011,10,9
102,40826.0,48.22951657,0,2011,10,10
103,40827.0,47.90139663,0,2011,10,11
104,40828.0,47.59605944,0,2011,10,12
105,40829.0,46.61340821,0,2011,10,13
106,40830.0,47.22521417,0,2011,10,14
107,40831.0,47.32042869,0,2011,10,15
108,40832.0,47.58602139,0,2011,10,16
109,40833.0,47.61192783,0,2011,10,17
110,40834.0,48.36054357,0,2011,10,18
111,40835.0,48.38555919,0,2011,10,19
112,40836.0,47.84320794,0,2011,10,20
113,40837.0,48.35329441,0,2011,10,21
114,40838.0,48.16457298,0,2011,10,22
115,40839.0,47.37107511,0,2011,10,23
116,40840.0,47.81153392,0,2011,10,24
117,40841.0,47.96204702,0,2011,10,25
118,40842.0,47.58052945,0,2011,10,26
119,40843.0,47.01521159,0,2011,10,27
120,40844.0,47.39558771,0,2011,10,28
121,40845.0,47.76876478,0,2011,10,29
122,40846.0,47.82622425,0,2011,10,30
123,40847.0,47.95088396,0,2011,10,31
124,40848.0,47.42562109,0,2011,11,1
125,40849.0,47.42562109,0,2011,11,2
126,40850.0,47.42638896,0,2011,11,3
127,40851.0,47.77803933,0,2011,11,4
128,40852.0,47.77803933,0,2011,11,5
129,40853.0,47.77803933,0,2011,11,6
130,40854.0,47.26147965,0,2011,11,7
131,40855.0,47.64431529,0,2011,11,8
132,40856.0,47.60347803,0,2011,11,9
133,40857.0,47.6582631,0,2011,11,10
134,40858.0,47.84873576,0,2011,11,11
135,40859.0,48.1053035,0,2011,11,12
136,40860.0,48.1053035,0,2011,11,13
137,40861.0,48.10166732,0,2011,11,14
138,40862.0,48.28201696,0,2011,11,15
139,40863.0,48.04241846,0,2011,11,16
140,40864.0,47.44796082,0,2011,11,17
141,40865.0,47.39432794,0,2011,11,18
142,40866.0,47.69161742,0,2011,11,19
143,40867.0,47.15769252,0,2011,11,20
144,40868.0,47.01732494,0,2011,11,21
145,40869.0,46.96888119,0,2011,11,22
146,40870.0,46.05003854,0,2011,11,23
147,40871.0,45.83355532,0,2011,11,24
148,40872.0,45.8296213,0,2011,11,25
149,40873.0,46.09980093,0,2011,11,26
150,40874.0,46.07796331,0,2011,11,27
151,40875.0,46.59496927,0,2011,11,28
152,40876.0,46.59496927,0,2011,11,29
153,40877.0,46.32014712,0,2011,11,30
154,40878.0,46.95355848,0,2011,12,1
155,40879.0,46.57367746,0,2011,12,2
156,40880.0,46.55643188,0,2011,12,3
157,40881.0,45.99348146,0,2011,12,4
158,40882.0,46.1566086,0,2011,12,5
159,40883.0,46.37213668,0,2011,12,6
160,40884.0,46.61206658,0,2011,12,7
161,40885.0,47.62611103,0,2011,12,8
162,40886.0,46.83676964,0,2011,12,9
163,40887.0,47.07542578,0,2011,12,10
164,40888.0,47.15291236,0,2011,12,11
165,40889.0,46.82450622,0,2011,12,12
166,40890.0,46.69971407,0,2011,12,13
167,40891.0,46.40469594,0,2011,12,14
168,40892.0,45.93380477,0,2011,12,15
169,40893.0,45.98959551,0,2011,12,16
170,40894.0,45.80494811,0,2011,12,17
171,40895.0,45.7922051,0,2011,12,18
172,40896.0,46.15742427,0,2011,12,19
173,40897.0,46.15742427,0,2011,12,20
174,40898.0,45.76141684,0,2011,12,21
175,40899.0,46.18923224,0,2011,12,22
176,40900.0,46.66364738,0,2011,12,23
177,40901.0,46.66364738,0,2011,12,24
178,40902.0,46.69127495,0,2011,12,25
179,40903.0,46.7326179,0,2011,12,26
180,40904.0,46.71712547,0,2011,12,27
181,40905.0,46.20888274,0,2011,12,28
182,40906.0,45.99381003,0,2011,12,29
183,40907.0,46.59203748,0,2011,12,30
184,40908.0,46.27669411,0,2011,12,31
185,40909.0,46.52345791,0,2012,1,1
186,40910.0,46.52345791,0,2012,1,2
187,40911.0,46.52345791,0,2012,1,3
188,40912.0,46.71696433,0,2012,1,4
189,40913.0,47.00441438,0,2012,1,5
190,40914.0,46.77189414,0,2012,1,6
191,40915.0,45.8586422,0,2012,1,7
192,40916.0,46.49513432,0,2012,1,8
193,40917.0,46.37633312,0,2012,1,9
