refinery,province,factorx,Bauxite Consumption,bayerconstant
Bosai Xianfeng domestic,Guangxi,5,0.1,1.23
Bosai Xianfeng domestic,Guizhou,1,0.1,1.23
Bosai Xianfeng domestic,Henan,1,0.1,1.23
Bosai Xianfeng domestic,Shanxi,1,0.1,1.23
Bosai Xianfeng domestic,Other,1,0.1,1.23
Bosai Xianfeng import,Guangxi,10,0.1,1.23
Bosai Xianfeng import,Guizhou,2,0.1,1.23
Bosai Xianfeng import,Henan,2,0.1,1.23
Bosai Xianfeng import,Shanxi,2,0.1,1.23
Bosai Xianfeng import,Other,10,0.1,1
Bosai Wanzhou,Guangxi,5,0.1,1.23
Bosai Wanzhou,Guizhou,3,0.1,1.23
Bosai Wanzhou,Henan,1,0.1,1.23
Bosai Wanzhou,Shanxi,1,0.1,1.23
Bosai Wanzhou,Other,1,0.2,1.23
Shuijiang,Guangxi,5,0.1,1.23
Shuijiang,Guizhou,2,0.1,1.23
Shuijiang,Henan,1,0.1,1.23
Shuijiang,Shanxi,1,0.1,1.23
Shuijiang,Other,20,0.1,1.23
Tuoyuan,Guangxi,5,0.1,1.23
Tuoyuan,Guizhou,2,0.1,1.23
Tuoyuan,Henan,1,0.1,1.23
Tuoyuan,Shanxi,1,0.1,1.23
Tuoyuan,Other,1,0.2,1.23
Chalco Pingguo ,Guangxi,3,0.1,1.23
Chalco Pingguo ,Guizhou,1,0.1,1.23
Chalco Pingguo ,Henan,1,0.1,1.23
Chalco Pingguo ,Shanxi,1,0.1,1.23
Chalco Pingguo ,Other,1,0.2,1.23
Jinjiang Chongzuo domestic,Guangxi,5,0.1,1.23
Jinjiang Chongzuo domestic,Guizhou,2,0.1,1.23
Jinjiang Chongzuo domestic,Henan,1,0.1,1.23
Jinjiang Chongzuo domestic,Shanxi,1,0.1,1.23
Jinjiang Chongzuo domestic,Other,1,0.2,1.23
Jinjiang Chongzuo import,Guangxi,5,0.1,1.23
Jinjiang Chongzuo import,Guizhou,2,0.1,1.23
Jinjiang Chongzuo import,Henan,1,0.1,1.23
Jinjiang Chongzuo import,Shanxi,1,0.1,1.23
Jinjiang Chongzuo import,Other,1,0.2,1.23
Huayin,Guangxi,1.8,0.1,1.23
Huayin,Guizhou,2,0.1,1.23
Huayin,Henan,1,0.1,1.23
Huayin,Shanxi,1,0.1,1.23
Huayin,Other,1,0.2,1.23
Jinjiang Tiandong,Guangxi,0.9,0.1,1.23
Jinjiang Tiandong,Guizhou,2,0.1,1.23
Jinjiang Tiandong,Henan,1,0.1,1.23
Jinjiang Tiandong,Shanxi,1,0.1,1.23
Jinjiang Tiandong,Other,1,0.2,1.23
Xinfa Jingxi,Guangxi,0.8,0.1,1.23
Xinfa Jingxi,Guizhou,2,0.1,1.23
Xinfa Jingxi,Henan,1,0.1,1.23
Xinfa Jingxi,Shanxi,1,0.1,1.23
Xinfa Jingxi,Other,1,0.2,1.23
