,Province,Power,LaborMining,Laborug,LaborGeneral,MineAutomation,MDOpenPit,MDUnderground,DressingAutomation,ProductionScale,PortionOpenpit,SWROpenPit,SWRUnderground,DieselPrice,MTCOpenpit,MTCUnderground,OMCOpenpit,OMCUnderground,DMCOpenpit,DMCUnderground,GCProvinceState,GCCountyLocal,FRRoad,FRRail,PriceDomesticBxFAW,CausticSoda,SodiumCarbonate,Lime,Flocculant,LCBasepricefaw,LCdistancetorefinery,ACBasepricefaw,ACdistancetorefinery,asource,lsource
0,Chongqing,0.56724786324786300000,2550.00000000000000000000,3550.00000000000000000000,3050.00000000000000000000,2.00000000000000000000,40.00000000000000000000,80.00000000000000000000,3.00000000000000000000,750.00000000000000000000,0.40000000000000000000,10.00000000000000000000,0.50000000000000000000,7.09401709401710000000,4.00000000000000000000,3.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.47250000000000000000,0.10790000000000000000,315.66000000000000000000,2855.00000000000000000000,1220.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,323.41239316239300000000,155.00000000000000000000,588.36965811965800000000,155.00000000000000000000,Shanxi,
1,Guangxi,0.53290598290598300000,2625.00000000000000000000,3625.00000000000000000000,3125.00000000000000000000,3.00000000000000000000,8.00000000000000000000,50.00000000000000000000,3.00000000000000000000,1000.00000000000000000000,1.00000000000000000000,5.49612871849919000000,0.34316617937024600000,7.02991452991453000000,2.00000000000000000000,3.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,24.00000000000000000000,0.00000000000000000000,0.45150000000000000000,0.10790000000000000000,218.81300000000000000000,2867.10000000000000000000,1272.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,663.89376068376100000000,200.00000000000000000000,604.06470085470100000000,200.00000000000000000000,Shanxi,
2,Guizhou,0.44860220797720800000,2250.00000000000000000000,3250.00000000000000000000,2750.00000000000000000000,3.00000000000000000000,50.00000000000000000000,120.00000000000000000000,3.00000000000000000000,1000.00000000000000000000,0.70000000000000000000,8.21267211623841000000,0.90108962768659600000,7.05128205128205000000,5.00000000000000000000,4.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,24.00000000000000000000,0.00000000000000000000,0.47250000000000000000,0.10790000000000000000,234.01250000000000000000,2933.00000000000000000000,1359.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,472.77350427350400000000,70.00000000000000000000,412.94444444444400000000,70.00000000000000000000,Shanxi,
3,Hainan,0.58974358974359000000,2700.00000000000000000000,3700.00000000000000000000,3200.00000000000000000000,1.00000000000000000000,10.00000000000000000000,100.00000000000000000000,1.00000000000000000000,500.00000000000000000000,1.00000000000000000000,13.50000000000000000000,0.50000000000000000000,7.05128205128205000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.44100000000000000000,0.10790000000000000000,286.77000000000000000000,2500.00000000000000000000,1400.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,470.84000000000000000000,500.00000000000000000000,520.84000000000000000000,500.00000000000000000000,Shanxi,
4,Hebei,0.45575231481481500000,2550.00000000000000000000,3550.00000000000000000000,3050.00000000000000000000,1.00000000000000000000,10.00000000000000000000,100.00000000000000000000,1.00000000000000000000,600.00000000000000000000,0.70000000000000000000,13.00000000000000000000,0.50000000000000000000,6.91452991452991000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.42000000000000000000,0.10790000000000000000,287.40000000000000000000,2500.00000000000000000000,1400.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,353.21000000000000000000,200.00000000000000000000,453.21000000000000000000,200.00000000000000000000,Shanxi,
5,Henan,0.53931908831908800000,2400.00000000000000000000,3400.00000000000000000000,2900.00000000000000000000,2.00000000000000000000,25.00000000000000000000,70.00000000000000000000,2.00000000000000000000,1000.00000000000000000000,0.90000000000000000000,5.93121362572180000000,0.28574823174983700000,6.93162393162393000000,4.00000000000000000000,4.00000000000000000000,5.00000000000000000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,30.00000000000000000000,10.00000000000000000000,0.45150000000000000000,0.10790000000000000000,289.74950000000000000000,2208.30000000000000000000,1250.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,391.35042735042700000000,80.00000000000000000000,596.47863247863300000000,80.00000000000000000000,Shanxi,
6,Hubei,0.52994377967711300000,2400.00000000000000000000,3400.00000000000000000000,2900.00000000000000000000,1.00000000000000000000,10.00000000000000000000,100.00000000000000000000,1.00000000000000000000,500.00000000000000000000,0.90000000000000000000,11.00000000000000000000,0.50000000000000000000,6.93589743589744000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.44100000000000000000,0.10790000000000000000,255.90000000000000000000,2500.00000000000000000000,1400.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,396.00000000000000000000,120.00000000000000000000,546.00000000000000000000,120.00000000000000000000,Shanxi,
7,Hunan,0.56605259971510000000,2400.00000000000000000000,3400.00000000000000000000,2900.00000000000000000000,1.00000000000000000000,10.00000000000000000000,100.00000000000000000000,1.00000000000000000000,300.00000000000000000000,0.90000000000000000000,11.00000000000000000000,0.50000000000000000000,6.98717948717949000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.46200000000000000000,0.10790000000000000000,253.80000000000000000000,2500.00000000000000000000,1400.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,382.50000000000000000000,150.00000000000000000000,532.50000000000000000000,150.00000000000000000000,Shanxi,
8,IM,0.42307692307692300000,2400.00000000000000000000,3400.00000000000000000000,2900.00000000000000000000,1.00000000000000000000,10.00000000000000000000,60.00000000000000000000,1.00000000000000000000,400.00000000000000000000,0.90000000000000000000,12.50000000000000000000,0.50000000000000000000,6.92735042735043000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.43050000000000000000,0.10790000000000000000,273.47500000000000000000,1712.50000000000000000000,1175.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,268.09829059829100000000,50.00000000000000000000,562.50000000000000000000,50.00000000000000000000,Shanxi,
9,Jiangxi,0.56434615384615400000,2400.00000000000000000000,3400.00000000000000000000,2900.00000000000000000000,1.00000000000000000000,10.00000000000000000000,120.00000000000000000000,1.00000000000000000000,100.00000000000000000000,0.90000000000000000000,9.00000000000000000000,0.50000000000000000000,6.96581196581197000000,3.00000000000000000000,2.00000000000000000000,5.00000000000000000000,1.00000000000000000000,23.00000000000000000000,23.00000000000000000000,20.00000000000000000000,0.00000000000000000000,0.46200000000000000000,0.10790000000000000000,296.90000000000000000000,2500.00000000000000000000,1400.00000000000000000000,300.00000000000000000000,18000.00000000000000000000,405.00000000000000000000,100.00000000000000000000,555.00000000000000000000,100.00000000000000000000,Shanxi,
