index,Exporter.Importer Combination,Exporter,Importer,Total,Rank,Sum,% of total,Annualised
111,Australia_China,Australia,China,11.507915,1.0,11.507915,36.42244656740787,45.65640190217392
70,Guinea_China,Guinea,China,6.841499,2.0,18.349414,58.07572883169938,27.142903641304347
143,Indonesia_China,Indonesia,China,4.139552,3.0,22.488965999999998,71.17737335488245,16.423222608695653
76,Guinea_Spain,Guinea,Spain,0.9402587499999999,4.0,23.429224749999996,74.1532837679688,3.7303743885869562
155,Jamaica_United States,Jamaica,United States,0.918032,5.0,24.347256749999996,77.05884671896128,3.642192173913043
77,Guinea_Ukraine,Guinea,Ukraine,0.8777530209166666,6.0,25.225009770916664,79.83692706659316,3.4823897025498187
75,Guinea_Ireland,Guinea,Ireland,0.7632705,7.0,25.988280270916665,82.2526712741867,3.0281927445652177
156,Brazil_Canada,Brazil,Canada,0.6855910000000001,8.0,26.673871270916663,84.42256056904121,2.7200077717391307
72,Guinea_Germany,Guinea,Germany,0.5980858333333334,9.0,27.271957104249996,86.3154968053018,2.3728405344202903
0,Other_China,Other,China,0.44396199999999997,10.0,27.715919104249995,87.72063250737811,1.7613709782608693
74,Guinea_India,Guinea,India,0.39422950999999995,11.0,28.110148614249994,88.96836532981123,1.5640627298913043
267,Brazil_Ireland,Brazil,Ireland,0.3764567916666667,12.0,28.48660540591666,90.15984765996546,1.4935514017210145
90,Guyana_Ukraine,Guyana,Ukraine,0.37213029000000003,13.0,28.85873569591666,91.33763665159766,1.4763864766304349
167,Brazil_China,Brazil,China,0.29518,14.0,29.15391569591666,92.27187867352495,1.1710945652173914
347,Brazil_United States,Brazil,United States,0.247900859,15.0,29.40181655491666,93.05648264313562,0.9835197123369566
166,Malaysia_China,Malaysia,China,0.197497,16.0,29.59931355491666,93.6815588563092,0.7835478804347826
69,Guinea_Canada,Guinea,Canada,0.183164,17.0,29.78247755491666,94.26127125452143,0.7266832608695653
234,Brazil_Greece,Brazil,Greece,0.16572258333333334,18.0,29.948200138249994,94.78578172722402,0.6574863360507247
