Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Guangxi,Jingxi,41,Xinxu,117316,135900,BHL2008,GxGeoRpt,
Guangxi,Jingxi,42,Gaojing deposit,0,21680,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,43,Guoli-Yuda deposit,0,73350,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,44,Laoda-Baming deposit,0,128980,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,45,Lingnong deposit,0,9470,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,46,Longbu deposit,0,35470,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,47,Nonghuo deposit,0,21130,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,48,Ponongshan deposit,0,15910,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,49,Sihou deposit,0,24460,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,50,Tangna deposit,0,10880,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,51,Jingxi County Quyang Bameng Bauxite Reconnaissance,0,11880,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Jingxi,52,not allocated by mine,123844,0,"Jingxi Gvt report published July 2015 - identified reserve = 406 mln t, foreseeable reserve >600 million, value by difference","Jingxi Gvt report published July 2015 - identified reserve = 406 mln t, foreseeable reserve >600 million, value by difference",
Guangxi,Laibin,53,Laibin City Daluo Bauxite Mine,7520,7520,BHL2008,BHL2008,
Guangxi,Lingyun,54,Luolou,0,8020,GxGeoRpt,GxGeoRpt,
Guangxi,Long'an,55,Long'an County Buquan Village Longhui Bauxite Reconnaissance,0,14968.1,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Longzhou,56,Longzhou County Kejia Gold Mine Detailed Exploration,17602,17602,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Longzhou,57,Jinlong,33590,33990,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Mashan,58,Du?an-Mashan deposit (Du'an Hengxian??),84390,275390,GxGeoRpt,GxGeoRpt,
Guangxi,Mashan,59,Gongchuan,0,19860,GxGeoRpt,GxGeoRpt,
Guangxi,Napo,60,Longhe deposit,69970,150910,"news report explored reserve = 69,970, prospective reserve 100,000, http://www.gxnews.com.cn/staticpages/20120820/newgx5031fd23-5895996.shtml",GxGeoRpt,
Guangxi,Ningming,61,Dulin deposit,0,31320,GxGeoRpt,GxGeoRpt,
Guangxi,Ningming,62,Panlong deposit,0,18060,GxGeoRpt,GxGeoRpt,
Guangxi,Ningming,63,Tingliang deposit,0,28480,GxGeoRpt,GxGeoRpt,
Guangxi,Pingguo,64,Barbie,0,0,GxGeoRpt,GxGeoRpt,
Guangxi,Pingguo,65,Barbie,10028,196640,BHL2008,GxGeoRpt,
Guangxi,Pingguo,66,Guohua,4012.54,99580,REF 08-13 New Discoveries Document,GxGeoRpt,
Guangxi,Pingguo,67,Jiaomei Bx Mine,37172,117300,CM Field Research,GxGeoRpt,
Guangxi,Pingguo,68,Longhua,31040,126220,GxGeoRpt,GxGeoRpt,
Guangxi,Pingguo,69,Longlan deposit,1540,42890,GxGeoRpt,GxGeoRpt,
Guangxi,Pingguo,70,Pingguo County Longlv Mine Bauxite General Exploration,2025.72,2025.72,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Pingguo,71,Nadou deposit,136010,275970,GxGeoRpt,GxGeoRpt,
Guangxi,Pingguo,72,Taiping  deposit,109780,465280,GxGeoRpt,GxGeoRpt,
Hebei,Tangshan,73,Baimashan,2105,2105,CM Field Research,CM Field Research,
Hebei,Tangshan,74,Banbidian,-,-,CM Field Research,CM Field Research,
Hebei,Tangshan,75,Beijiadian,5880,5880,CM Field Research,CM Field Research,
Hebei,Tangshan,76,Gulouzhuang,7812,7812,CM Field Research,CM Field Research,
Hebei,Tangshan,77,Zhaogezhuang,8072,8072,"CM Field Research,  ???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=12349","CM Field Research,  ???????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=12350",
Guangxi,Pingguo,78,Pingguo County Bauxite Mine Taiping Outskirt Prospecting-Reconnaissance,21131,26097,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Pingguo,79,Tunde deposit,9270,118590,GxGeoRpt,GxGeoRpt,
Guangxi,Pingxiang,80,Aikou deposit,0,13640,GxGeoRpt,GxGeoRpt,
Guangxi,Pingxiang,81,Nakan deposit,0,1970,GxGeoRpt,GxGeoRpt,
Guangxi,Pingxiang,82,Pingxiang deposit,0,4540,GxGeoRpt,GxGeoRpt,
Guangxi,Shanglin,83,Beigeng deposit,0,54060,GxGeoRpt,GxGeoRpt,
Guangxi,Shanglin,84,Lalie deposit,77910,275500,GxGeoRpt,GxGeoRpt,
Guangxi,Shanglin,85,Shimen deposit,58830,94220,GxGeoRpt,GxGeoRpt,
Guangxi,Tiandong,86,Tiandong County Silin Village Longlian Bauxite General Exploration,357.85,977.46,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Tiandong,87,Youchang Mine deposit,10190,182890,GxGeoRpt,GxGeoRpt,
