week_id,Date,capesize,panamax,BCI,BPI
week_58,0,0,0,0,0
week_57,0,0,0,0,0
week_56,0,0,0,0,0
week_55,0,0,0,0,0
week_54,0,0,0,0,0
week_53,0,0,0,0,0
week_52,0,0,0,0,0
week_51,0,0,0,0,0
week_50,0,0,0,0,0
week_49,0,0,0,0,0
week_48,0,0,0,0,0
week_47,0,0,0,0,0
week_46,0,0,0,0,0
week_45,0,0,0,0,0
week_44,0,0,0,0,0
week_43,0,0,0,0,0
week_42,0,0,0,0,0
week_41,0,0,0,0,0
week_40,0,0,0,0,0
week_39,0,0,0,0,0
week_38,0,0,0,0,0
week_37,0,0,0,0,0
week_36,0,0,0,0,0
week_35,0,0,0,0,0
week_34,0,0,0,0,0
week_33,0,0,0,0,0
week_32,0,0,0,0,0
week_31,0,0,0,0,0
week_30,0,0,0,0,0
week_29,0,0,0,0,0
week_28,0,0,0,0,0
week_27,0,0,0,0,0
week_26,0,0,0,0,0
week_25,0,0,0,0,0
week_24,0,0,0,0,0
week_23,0,0,0,0,0
week_22,0,0,0,0,0
week_21,0,0,0,0,0
week_20,0,0,0,0,0
week_19,0,0,0,0,0
week_18,0,0,0,0,0
week_17,0,0,0,0,0
week_16,0,0,0,0,0
week_15,0,0,0,0,0
week_14,0,0,0,0,0
week_13,0,0,0,0,0
week_12,0,0,0,0,0
week_11,0,0,0,0,0
week_10,0,0,0,0,0
week_9,0,0,0,0,0
week_8,0,0,0,0,0
week_7,0,0,0,0,0
week_6,0,0,0,0,0
week_5,0,0,0,0,0
week_4,0,0,0,0,0
week_3,0,0,0,0,0
week_2,0,0,0,0,0
week_1,0,0,0,0,0
week_0,0,0,0,0,0
