day_id,Date,CBIX1,CBIX2
day_403,0,0,0
day_402,0,0,0
day_401,0,0,0
day_400,0,0,0
day_399,0,0,0
day_398,0,0,0
day_397,0,0,0
day_396,0,0,0
day_395,0,0,0
day_394,0,0,0
day_393,0,0,0
day_392,0,0,0
day_391,0,0,0
day_390,0,0,0
day_389,0,0,0
day_388,0,0,0
day_387,0,0,0
day_386,0,0,0
day_385,0,0,0
day_384,0,0,0
day_383,0,0,0
day_382,0,0,0
day_381,0,0,0
day_380,0,0,0
day_379,0,0,0
day_378,0,0,0
day_377,0,0,0
day_376,0,0,0
day_375,0,0,0
day_374,0,0,0
day_373,0,0,0
day_372,0,0,0
day_371,0,0,0
day_370,0,0,0
day_369,0,0,0
day_368,0,0,0
day_367,0,0,0
day_366,0,0,0
day_365,0,0,0
day_364,0,0,0
day_363,0,0,0
day_362,0,0,0
day_361,0,0,0
day_360,0,0,0
day_359,0,0,0
day_358,0,0,0
day_357,0,0,0
day_356,0,0,0
day_355,0,0,0
day_354,0,0,0
day_353,0,0,0
day_352,0,0,0
day_351,0,0,0
day_350,0,0,0
day_349,0,0,0
day_348,0,0,0
day_347,0,0,0
day_346,0,0,0
day_345,0,0,0
day_344,0,0,0
day_343,0,0,0
day_342,0,0,0
day_341,0,0,0
day_340,0,0,0
day_339,0,0,0
day_338,0,0,0
day_337,0,0,0
day_336,0,0,0
day_335,0,0,0
day_334,0,0,0
day_333,0,0,0
day_332,0,0,0
day_331,0,0,0
day_330,0,0,0
day_329,0,0,0
day_328,0,0,0
day_327,0,0,0
day_326,0,0,0
day_325,0,0,0
day_324,0,0,0
day_323,0,0,0
day_322,0,0,0
day_321,0,0,0
day_320,0,0,0
day_319,0,0,0
day_318,0,0,0
day_317,0,0,0
day_316,0,0,0
day_315,0,0,0
day_314,0,0,0
day_313,0,0,0
day_312,0,0,0
day_311,0,0,0
day_310,0,0,0
day_309,0,0,0
day_308,0,0,0
day_307,0,0,0
day_306,0,0,0
day_305,0,0,0
day_304,0,0,0
day_303,0,0,0
day_302,0,0,0
day_301,0,0,0
day_300,0,0,0
day_299,0,0,0
day_298,0,0,0
day_297,0,0,0
day_296,0,0,0
day_295,0,0,0
day_294,0,0,0
day_293,0,0,0
day_292,0,0,0
day_291,0,0,0
day_290,0,0,0
day_289,0,0,0
day_288,0,0,0
day_287,0,0,0
day_286,0,0,0
day_285,0,0,0
day_284,0,0,0
day_283,0,0,0
day_282,0,0,0
day_281,0,0,0
day_280,0,0,0
day_279,0,0,0
day_278,0,0,0
day_277,0,0,0
day_276,0,0,0
day_275,0,0,0
day_274,0,0,0
day_273,0,0,0
day_272,0,0,0
day_271,0,0,0
day_270,0,0,0
day_269,0,0,0
day_268,0,0,0
day_267,0,0,0
day_266,0,0,0
day_265,0,0,0
day_264,0,0,0
day_263,0,0,0
day_262,0,0,0
day_261,0,0,0
day_260,0,0,0
day_259,0,0,0
day_258,0,0,0
day_257,0,0,0
day_256,0,0,0
day_255,0,0,0
day_254,0,0,0
day_253,0,0,0
day_252,0,0,0
day_251,0,0,0
day_250,0,0,0
day_249,0,0,0
day_248,0,0,0
day_247,0,0,0
day_246,0,0,0
day_245,0,0,0
day_244,0,0,0
day_243,0,0,0
day_242,0,0,0
