Province,County,Inventory '000 t,"Geological
Endowment '000 t"
Chongqing,Fengdu,,
Chongqing,Nanchuan,,
Chongqing,Qinjiang,,
Chongqing,Wulong,,
Guangxi,Binyang,,
Guangxi,Chongzuo,,
Guangxi,Debao,,
Guangxi,Donglan,,
Guangxi,Guigang,,
Guangxi,Heng,,
Guangxi,Jingxi,,
Guangxi,Laibin,,
Guangxi,Lingyun,,
Guangxi,Long'an,,
Guangxi,Longzhou,,
Guangxi,Mashan,,
Guangxi,Napo,,
Guangxi,Ningming,,
Guangxi,Pingguo,,
Guangxi,Pingxiang,,
Guangxi,Shanglin,,
Guangxi,Tiandong,,
Guangxi,Tianyang,,
Guangxi,Tian'e,,
Guangxi,Tianlin,,
Guangxi,Yizhou,,
Guangxi,Yongning,,
Guizhou,Daozhen,,
Guizhou,Fuquan,,
Guizhou,Guiyang,,
Guizhou,Huangping,,
Guizhou,Kaili,,
Guizhou,Kaiyang,,
Guizhou,Jinsha,,
Guizhou,Longli,,
Guizhou,Qingzhen,,
Guizhou,Tongzi,,
Guizhou,Weng'an,,
Guizhou,Wuchuan,,
Guizhou,Xifeng,,
Guizhou,Xiuwen,,
Guizhou,Zheng'an,,
Guizhou,Zhijin,,
Guizhou,Zunyi,,
Guizhou,Other,,
Hainan,Wenchang,,
Hebei,Fengfeng,,
Hebei,Jingxing,,
Hebei,Tangshan,,
Hebei,Wu'an,,
Henan,Baofeng,,
Henan,Dengfeng,,
Henan,Gongyi,,
Henan,Hubin,,
Henan,Hubin,,
Henan,Jiaxian,,
Henan,Jiyuan,,
Henan,Lushan,,
Henan,Mianchi,,
Henan,Pingdingshan,,
Henan,Qinyang,,
Henan,Ruyang,,
Henan,Ruzhou,,
Henan,Sanmenxia,,
Henan,Shaan,,
Henan,Xin'an,,
Henan,Xingyang,,
Henan,Xinmi,,
Henan,Yanshi,,
Henan,Yichuan,,
Henan,Yiyang,,
Henan,Yuzhou,,
Hubei,Yicheng,,
Hunan,Chenxi,,
Inner Mongolia,Qingshuihe,,
Shandong,Tai'an,,
Shandong,Zhangqiu,,
Shandong,Zouwu,,
Shandong,Zibo,,
Shaanxi,Chencheng,,
Shaanxi,Pucheng,,
Shaanxi,Fugu,,
Shaanxi,Hancheng,,
Shaanxi,Tongchuan,,
Shaanxi,Xixiang,,
Shaanxi,Zhenba,,
Shanxi,Baode,,
Shanxi,Fangshan,,
Shanxi,Fenxi,,
Shanxi,Fenyang,,
Shanxi,Gujiao,,
Shanxi,Gu,,
Shanxi,Hequ,,
Shanxi,Heshun,,
Shanxi,Huairen,,
Shanxi,Huozhou,,
Shanxi,Jiaokou,,
Shanxi,Jiexiu,,
Shanxi,Jingle,,
Shanxi,Jincheng,,
Shanxi,Lin,,
Shanxi,Lingshi,,
Shanxi,Liulin,,
Shanxi,Lvliang,,
Shanxi,Loufan,,
Shanxi,Yingze,,
Shanxi,Yu,,
Shanxi,Ningwu,,
Shanxi,Pinglu,,
Shanxi,Qinyuan,,
Shanxi,Shenchi,,
Shanxi,Shuozhou,,
Shanxi,Wutai,,
Shanxi,Wuxiang,,
Shanxi,Xia,,
Shanxi,Xiangyuan,,
Shanxi,Xiaoyi,,
Shanxi,Xing,,
Shanxi,Xiyang,,
Shanxi,Yuanping,,
Shanxi,Yangquan,,
Shanxi,Yuanqu,,
Shanxi,Zhongyang,,
Shanxi,Zuoquan,,
Sichuan,Guangyuan,,
Sichuan,Lushan,,
Sichuan,Miyi,,
Sichuan,Tianquan,,
Yunnan,Annin,,
Yunnan,Chengong,,
Yunnan,Fumin,,
Yunnan,Guangnan,,
Yunnan,Gudu,,
Yunnan,Heqing,,
Yunnan,Hongta,,
Yunnan,Jinnin,,
Yunnan,Ludian,,
Yunnan,Malipo,,
Yunnan,Songming,,
Yunnan,Wenshan,,
Yunnan,Xichou,,
Yunnan,Xishan,,
Yunnan,Yanshan,,
