date,Shanxi 4.5 - 5.0,Henan 4.0 - 5.0,Guizhou 5.5 - 6.5,creation_date,updation_date
42923.0,365,345.833,250,,
42930.0,0,330.833,250,,
42937.0,0,330.833,250,,
42944.0,0,330.833,250,,
42951.0,0,363.333,250,,
42958.0,0,363.333,250,,
42965.0,0,363.333,250,,
42972.0,0,361.667,250,,
42979.0,0,361.667,250,,
42986.0,390,382.5,0,,
42993.0,382.5,382.5,0,,
43000.0,382.5,382.5,0,,
43007.0,382.5,382.5,0,,
43014.0,382.5,382.5,0,,
43021.0,380,357.5,0,,
43028.0,390,377.5,0,,
43035.0,390,397.5,0,,
43042.0,390,417.5,265,,
43049.0,430,492.5,262.5,,
43056.0,430,492.5,302.5,,
43063.0,430,482.5,302.5,,
43070.0,430,482.5,302.5,,
43077.0,430,478.333,302.5,,
43084.0,400,398.333,282.5,,
43091.0,400,388.333,282.5,,
43098.0,400,388.333,282.5,,
43105.0,365,370,280,,
43112.0,365,370,280,,
43119.0,365,370,280,,
43126.0,365,370,280,,
43133.0,365,370,280,,
43140.0,365,370,280,,
43147.0,365,370,280,,
43154.0,365,370,275,,
43161.0,365,361.667,265,,
43168.0,375,381.667,295,,
43175.0,375,381.667,290,,
43182.0,375,381.667,290,,
43189.0,375,381.667,290,,
43196.0,375,381.667,290,,
43203.0,402.5,416.667,290,,
43210.0,402.5,416.667,290,,
43217.0,402.5,416.667,297.5,,
43224.0,0,0,0,,
43231.0,0,0,0,,
43238.0,0,0,0,,
43245.0,0,0,0,,
43252.0,0,0,0,,
43259.0,0,0,0,,
43266.0,0,0,0,,
43273.0,0,0,0,,
43280.0,0,0,0,,
43287.0,0,0,0,,
43294.0,0,0,0,,
43301.0,0,0,0,,
43308.0,0,0,0,,
43315.0,0,0,0,,
43322.0,0,0,0,,
43329.0,0,0,0,,
43336.0,0,0,0,,
43343.0,0,0,0,,
43350.0,0,0,0,,
43357.0,0,0,0,,
43364.0,0,0,0,,
43371.0,0,0,0,,
43378.0,0,0,0,,
43385.0,0,0,0,,
43392.0,0,0,0,,
43399.0,0,0,0,,
43406.0,0,0,0,,
43413.0,0,0,0,,
43420.0,0,0,0,,
43427.0,0,0,0,,
43434.0,0,0,0,,
43441.0,0,0,0,,
43448.0,0,0,0,,
43455.0,0,0,0,,
43462.0,0,0,0,,
43469.0,0,0,0,,
43476.0,0,0,0,,
43483.0,0,0,0,,
43490.0,0,0,0,,
43511.0,0,0,0,,
43518.0,0,0,0,,
43525.0,0,0,0,,
43532.0,0,0,0,,
43539.0,0,0,0,,
43546.0,0,0,0,,
43553.0,0,0,0,,
43560.0,0,0,0,,
43567.0,0,0,0,,
43574.0,0,0,0,,
43581.0,0,0,0,,
43588.0,0,0,0,,
43595.0,0,0,0,,
43602.0,0,0,0,,
43609.0,0,0,0,,
43616.0,0,0,0,,
43623.0,0,0,0,,
43630.0,0,0,0,,
43637.0,0,0,0,,
43644.0,0,0,0,,
43651.0,0,0,0,,
43658.0,0,0,0,,
43665.0,0,0,0,,
43672.0,0,0,0,,
43679.0,0,0,0,,
43686.0,0,0,0,,
43693.0,0,0,0,,
43700.0,0,0,0,,
43707.0,0,0,0,,
43714.0,0,0,0,,
43721.0,0,0,0,,
43728.0,0,0,0,,
43735.0,0,0,0,,
43742.0,0,0,0,,
43749.0,0,0,0,,
43756.0,0,0,0,,
43763.0,0,0,0,,
43770.0,0,0,0,,
43777.0,0,0,0,,
43784.0,0,0,0,,
43791.0,0,0,0,,
43798.0,0,0,0,,
43805.0,0,0,0,,
43812.0,0,0,0,,
43819.0,0,0,0,,
43826.0,0,0,0,,
43833.0,0,0,0,,
43840.0,0,0,0,,
43847.0,0,0,0,,
43854.0,0,0,0,,
43861.0,0,0,0,,
43868.0,0,0,0,,
43875.0,0,0,0,,
43882.0,0,0,0,,
43889.0,0,0,0,,
43896.0,0,0,0,,
43903.0,0,0,0,,
43910.0,0,0,0,,
43917.0,0,0,0,,
43924.0,0,0,0,,
43931.0,0,0,0,,
43938.0,0,0,0,,
43945.0,0,0,0,,
43952.0,0,0,0,,
43959.0,0,0,0,,
43966.0,0,0,0,,
43973.0,0,0,0,,
43980.0,0,0,0,,
