cmaaxdata2_id,wacifrmb,index,date,wacif,usdrmb,australia
1,3176.9969032359804,0,07-01-2011,478.8889078,6.6341,nan
2,3208.42169921762,1,10-01-2011,483.5674538,6.6349,nan
3,3202.1506159773603,2,11-01-2011,483.5916721,6.6216,nan
4,3252.16015987744,3,12-01-2011,491.7977498,6.6128,nan
5,3253.59773893107,4,13-01-2011,492.9917631,6.5997,nan
6,3248.7409522790394,5,14-01-2011,493.0103424,6.5896,nan
7,3217.94924283157,6,17-01-2011,488.3301581,6.5897,nan
8,3217.6635289867604,7,18-01-2011,488.3312636,6.5891,nan
9,3217.37781513305,8,19-01-2011,488.3323693,6.5885,nan
10,3209.5742661065697,9,20-01-2011,487.1627379,6.5883,nan
11,3209.7167720909997,10,21-01-2011,487.162185,6.5886,nan
12,3209.5742661065697,11,24-01-2011,487.1627379,6.5883,nan
13,3209.47926193265,12,25-01-2011,487.1631065,6.5881,nan
14,3209.3367560540996,13,26-01-2011,487.1636595,6.5878,nan
15,3201.5342601703196,14,27-01-2011,485.9940282,6.5876,nan
16,3204.093049988801,15,28-01-2011,485.98408160000014,6.593,nan
17,3213.80890548676,16,31-01-2011,487.7462636,6.5891,nan
18,3217.6635289867604,17,01-02-2011,488.3312636,6.5891,nan
19,3217.6635289867604,18,02-02-2011,488.3312636,6.5891,nan
20,3217.6635289867604,19,03-02-2011,488.3312636,6.5891,nan
21,3217.6635289867604,20,04-02-2011,488.3312636,6.5891,nan
22,3217.6635289867604,21,07-02-2011,488.3312636,6.5891,nan
23,3240.79126998676,22,08-02-2011,491.8412636,6.5891,nan
24,3238.824500113501,23,09-02-2011,491.84882310000006,6.585,nan
25,3277.29819514524,24,10-02-2011,497.6990076,6.5849,nan
26,3282.2993602368,25,11-02-2011,497.680034,6.5952,nan
27,3320.8812802367997,26,12-02-2011,503.530034,6.5952,nan
28,3320.8812802367997,27,13-02-2011,503.530034,6.5952,nan
29,3322.5029002086,28,14-02-2011,503.5239676,6.5985,nan
30,3319.751059674241,29,15-02-2011,503.5342656,6.5929,nan
