Province,County,Deposit/Mine,Inventory '000 t,"Geological
Endowment '000 t",Inventory Reference,Endowment Reference
Guangxi,Donglan,Donglan County Huaxiang deposit & Bauxite Mine,750,36710,GxGeoRpt,GxGeoRpt
Guangxi,Donglan,Datong deposit,380,46240,GxGeoRpt,GxGeoRpt
Guangxi,Donglan,Sanshi deposit,760,65163,GxGeoRpt,GxGeoRpt
Guangxi,Guigang,0,0,220000,N/A,"MLR Guangxi- Guigang Mineral Resource General Plan, News Source .. Over 220 mln t ""Reserve"""
Guangxi,Heng,Xiexu,0,267487.62,N/A,2016 Guangxi Mineral Plan + GxGeoRpt
Guangxi,Jingxi,Dajia deposit,111390,275350,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Dalu deposit,0,0,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Diling,0,61110,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Sanhe deposit,53450,97850,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Xinxu,117316,135900,BHL2008,GxGeoRpt
Guangxi,Jingxi,Gaojing deposit,0,21680,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Guoli-Yuda deposit,0,73350,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Laoda-Baming deposit,0,128980,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Lingnong deposit,0,9470,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Longbu deposit,0,35470,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Nonghuo deposit,0,21130,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Ponongshan deposit,0,15910,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Sihou deposit,0,24460,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Tangna deposit,0,10880,GxGeoRpt,GxGeoRpt
Guangxi,Jingxi,Jingxi County Quyang Bameng Bauxite Reconnaissance,0,11880,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Jingxi,not allocated by mine,123844,0,"Jingxi Gvt report published July 2015 - identified reserve = 406 mln t, foreseeable reserve >600 million, value by difference","Jingxi Gvt report published July 2015 - identified reserve = 406 mln t, foreseeable reserve >600 million, value by difference"
Guangxi,Laibin,Laibin City Daluo Bauxite Mine,7520,7520,BHL2008,BHL2008
Guangxi,Lingyun,Luolou,0,8020,GxGeoRpt,GxGeoRpt
Guangxi,Long'an,Long'an County Buquan Village Longhui Bauxite Reconnaissance,0,14968.1,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Longzhou,Longzhou County Kejia Gold Mine Detailed Exploration,17602,17602,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Longzhou,Jinlong,33590,33990,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Mashan,Du’an-Mashan deposit (Du'an Hengxian??),84390,275390,GxGeoRpt,GxGeoRpt
Guangxi,Mashan,Gongchuan,0,19860,GxGeoRpt,GxGeoRpt
Guangxi,Napo,Longhe deposit,69970,150910,"news report explored reserve = 69,970, prospective reserve 100,000, http://www.gxnews.com.cn/staticpages/20120820/newgx5031fd23-5895996.shtml",GxGeoRpt
Guangxi,Ningming,Dulin deposit,0,31320,GxGeoRpt,GxGeoRpt
Guangxi,Ningming,Panlong deposit,0,18060,GxGeoRpt,GxGeoRpt
Guangxi,Ningming,Tingliang deposit,0,28480,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Barbie,0,0,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Barbie,10028,196640,BHL2008,GxGeoRpt
Guangxi,Pingguo,Guohua,4012.538,99580,REF 08-13 New Discoveries Document,GxGeoRpt
Guangxi,Pingguo,Jiaomei Bx Mine,37172,117300,CM Field Research,GxGeoRpt
Guangxi,Pingguo,Longhua,31040,126220,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Longlan deposit,1540,42890,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Pingguo County Longlv Mine Bauxite General Exploration,2025.722,2025.722,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Pingguo,Nadou deposit,136010,275970,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Taiping  deposit,109780,465280,GxGeoRpt,GxGeoRpt
Guangxi,Pingguo,Pingguo County Bauxite Mine Taiping Outskirt Prospecting-Reconnaissance,21131,26097,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Pingguo,Tunde deposit,9270,118590,GxGeoRpt,GxGeoRpt
Guangxi,Pingxiang,Aikou deposit,0,13640,GxGeoRpt,GxGeoRpt
Guangxi,Pingxiang,Nakan deposit,0,1970,GxGeoRpt,GxGeoRpt
Guangxi,Pingxiang,Pingxiang deposit,0,4540,GxGeoRpt,GxGeoRpt
Guangxi,Shanglin,Beigeng deposit,0,54060,GxGeoRpt,GxGeoRpt
Guangxi,Shanglin,Lalie deposit,77910,275500,GxGeoRpt,GxGeoRpt
Guangxi,Shanglin,Shimen deposit,58830,94220,GxGeoRpt,GxGeoRpt
Guangxi,Tiandong,Tiandong County Silin Village Longlian Bauxite General Exploration,357.85,977.46,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guangxi,Tiandong,Youchang Mine deposit,10190,182890,GxGeoRpt,GxGeoRpt
Guangxi,Tiandong,Gaoguo deposit,5780,30390,GxGeoRpt,GxGeoRpt
Guangxi,Tianyang,Babie deposit,19640,194250,GxGeoRpt,GxGeoRpt
Guangxi,Tianyang,Dalu Bauxite Mine,67480,172280,GxGeoRpt,GxGeoRpt
Guangxi,Tianyang,Gumei-Barbie deposit,34010,341210,GxGeoRpt,GxGeoRpt
Guangxi,Tian'e,Tian'e County Coal Mine (Laopeng bauxite deposit),580,46230,GxGeoRpt,GxGeoRpt
Guangxi,Tianlin,Chaoyang deposit,1070,15200,GxGeoRpt,GxGeoRpt
Guangxi,Tianlin,Dabaocheng deposit,10,15250,GxGeoRpt,GxGeoRpt
Guangxi,Yizhou,Liucun deposit,0,44540,GxGeoRpt,GxGeoRpt
Guangxi,Yizhou,Sancha deposit,30,8700,GxGeoRpt,GxGeoRpt
Guangxi,Yongning,Nalang deposit,1000,12670,GxGeoRpt,GxGeoRpt
Guizhou,Daozhen,Datang,70750.55,106410.55,CM Field work - geological report,CM Field work - geological report
Guizhou,Daozhen,Daozhen County Mailishu Bauxite,1370,4010,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guizhou,Daozhen,Daozhen,13430.6,47331.4,CM Field work - geological report,CM Field work - geological report & ??????85?????????? http://www.kms88.com/news/html/2016/0831/255116.shtml
Guizhou,Daozhen,Taoyuan,16341,25363,CM Field work - geological report,CM Field work - geological report
Guizhou,Daozhen,Taoyuan,10380,36450,"CM Field work - geological report & ??????85??????????, alt ref Sunny: Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml","CM Field work - geological report & ??????85??????????, alt ref Sunny: Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml"
Guizhou,Daozhen,Pingmo Bauxite Mine,9110,9110,"??????85??????????, alt ref Sunny: 9110Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml","??????85??????????, alt ref Sunny: 9110Potential RR http://www.kms88.com/news/html/2016/0831/255116.shtml"
Guizhou,Daozhen,Daozhen County Xinmin Bauxite Mine General Exploration,50600,50600,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document
Guizhou,Daozhen,Sanqingmiao Bauxite Mine,11000,11000,“??????????????”?????????? http://www.gzysdkj.gov.cn/ywgz/dzkc/201610/t20161017_1394598.html,“??????????????”?????????? http://www.gzysdkj.gov.cn/ywgz/dzkc/201610/t20161017_1394598.html
Guizhou,Fuquan,Taiping Bauxite mine,7220,7220,???????????????????????????????????? http://www.mlr.gov.cn/kczygl/zhgl/201603/P020160316538895536938.pdf,???????????????????????????????????? http://www.mlr.gov.cn/kczygl/zhgl/201603/P020160316538895536938.pdf
Guizhou,Guiyang,Doupengshan,9289,9289,BHL2008,BHL2008
Guizhou,Guiyang,Baiyun District Niuchang County Yuwushan Bauxite Mine,223,223,BHL2008,BHL2008
Guizhou,Huangping,Huangping County Chong'anjiang Town Wangjiazhai Bauxite Mine,1761,1761,BHL2008,BHL2008
Guizhou,Huangping,Huangping Wangjiazhai Bx Mine ,8733.6,9102,??????? https://wenku.baidu.com/view/c47d40758e9951e79b892714.html,??????? https://wenku.baidu.com/view/c47d40758e9951e79b892714.html
Guizhou,Huangping,Maiba Bauxite Mine,4420.6,4420.6,"???????????????30 ? t/a ??, http://www.hpxhbj.gov.cn/images/xzspgs/slgs/2014/5/9/49576d31-e953-4aea-bb75-9cda3d4c52e4.pdf","???????????????30 ? t/a ??, http://www.hpxhbj.gov.cn/images/xzspgs/slgs/2014/5/9/49576d31-e953-4aea-bb75-9cda3d4c52e4.pdf"
Guizhou,Kaili,Kulijing (Yudong),15122.4,35705.3,????????????? http://www.docin.com/p-1439557823.html,????????????? http://www.docin.com/p-1439557823.html
Guizhou,Kaili,Kaili - Huangping Area Bauxite Integrated Exploration - Kulijing Mine,33348.4,33348.4,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Kaili,Kaili - Huangping Area Bauxite Integrated Exploration - Wangjiazhai Mine,6437.7,6437.7,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document 
Guizhou,Kaili,Kaili City Alumina Plant,344,344,BHL2008,BHL2008
Guizhou,Kaili,Kaili City Getian Refractory Kulijin Mine,1,1,BHL2008,BHL2008
Guizhou,Kaili,Kaili City Huangmaozhai Mine,988,988,BHL2008,BHL2008
Guizhou,Kaili,Kaili City Jinding Zinc Plant Xiaopaomu Mine,67,67,BHL2008,BHL2008
Guizhou,Kaili,no mining or exploitation carried out,1255,1255,BHL2008,BHL2008
Guizhou,Kaili,no mining or exploitation carried out (Baiyanshan Bauxite Mine),448,448,BHL2008,BHL2008
Guizhou,Kaili,Lushan-Xiaoba (formerly Xiaoshanba) Bx mine,265.8,265.8,????????????? http://www.docin.com/p-1439557823.html,????????????? http://www.docin.com/p-1439557823.html
Guizhou,Kaiyang,Kaiyang County Hejiawan Mine,2760,2760,BHL2008,BHL2008
Guizhou,Kaiyang,Kaiyang County Mchang Town Gaolu Village,952,952,BHL2008,BHL2008
Guizhou,Kaiyang,Kaiyang County Mchang Town Gaolu Village Bauxite Mine,236,236,BHL2008,BHL2008
Guizhou,Kaiyang,Kaiyang County Xuetangwan Bauxite Mine,220,220,BHL2008,BHL2008
Guizhou,Kaiyang,Kaiyang County Zhaojiawa Mine,2853,2853,BHL2008,BHL2008
Guizhou,Kaiyang,Gaolu Village Houshang Bx Mine,464.7,0,??????????????? 2011-2015 https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&ved=0ahUKEwiQ1YKUhZnUAhXEX5QKHXU1DvwQFghZMAc&url=http%3A%2F%2Fwww.gzgtzy.gov.cn%2Fimages%2Fupload%2F2013_05_13_0909256646.doc&usg=AFQjCNFxkfrOemkHlySkEbaX67QySliRVg&sig2=wHnC-XbpQePhfX5Qy-mJTA&cad=rja,??????????????? 2011-2015 https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&ved=0ahUKEwiQ1YKUhZnUAhXEX5QKHXU1DvwQFghZMAc&url=http%3A%2F%2Fwww.gzgtzy.gov.cn%2Fimages%2Fupload%2F2013_05_13_0909256646.doc&usg=AFQjCNFxkfrOemkHlySkEbaX67QySliRVg&sig2=wHnC-XbpQePhfX5Qy-mJTA&cad=rja
Guizhou,Kaiyang,Gaozhai Village Pingshang Bauxite Mine,0,335.4,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111622,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111622
Guizhou,Kaiyang,Gelaobao Bauxite Mine,74.5,192.8,?????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111616,?????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111616
Guizhou,Kaiyang,Jiaxing Fumin Bauxite Mine,209,209,????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=109995,????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=109995
Guizhou,Jinsha,Datian Village Huangjiayan Bx mine,525,803, http://www.gzjinsha.gov.cn/html/2015/02/03/content_4886873.html, http://www.gzjinsha.gov.cn/html/2015/02/03/content_4886873.html
Guizhou,Jinsha,Pingba Village Changgou Bx Mine,1787.9,2697,??????????????????????????? http://www.gzgtzy.gov.cn/Html/2013/08/08/20130808_152921_25341.html + other non linked reference,??????????????????????????? http://www.gzgtzy.gov.cn/Html/2013/08/08/20130808_152921_25341.html + other non linked reference
Guizhou,Jinsha,Wumengshan deposit(Changgou&Shaping Bx mine),19645.9,19645.9,????—???????????????? http://www.chinania.org.cn/html/kuangchanziyuan/2016/0612/24976.html,????—???????????????? http://www.chinania.org.cn/html/kuangchanziyuan/2016/0612/24976.html
Guizhou,Longli,Jingu Bauxite Mine,0,10000,????????????? http://shumx.webc.testwebsite.cn/jiaoyi3_detail/id/749.html,????????????? http://shumx.webc.testwebsite.cn/jiaoyi3_detail/id/749.html
Guizhou,Longli,Minzhu Village Gulang Bauxite Mine,296.1,296.1,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111684,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111684
Guizhou,Longli,Minzhu Village Changchong Bauxite Mine,99.9,99.9,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111683,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=111683
Guizhou,Qingzhen,"Changchonghe Changchonghe Mine (""Qingzhen City Changchonghe Bauxite Mine Changchonghe Mine"")",9287.5,9287.5,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63508,???????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63508
Guizhou,Qingzhen,Changchonghe Dayan summary,5064,5064,BHL2008,BHL2008
Guizhou,Qingzhen,"Changchonghe Mine (""CHALCO Guizhou province 2nd Bauxite Mine Changchonghe Mine"")",148,148,BHL2008,BHL2008
Guizhou,Qingzhen,"Changchonghe Poyan (""Guizhou province 2nd Bauxite Mine Changchonghe Mine Poyan"")",473,473,BHL2008,BHL2008
Guizhou,Qingzhen,"Changchonghe Xiaozhaigou Section (""Guizhou province Aluminum Plant 2nd Changchonghe Mine Xiaozhaigou Section"")",1460,1460,BHL2008,BHL2008
Guizhou,Qingzhen,"Changchonghe Xinlongdapo Mine (""Qingzhen City Changchonghe Bauxite Mine Xinlongdapo Mine"")",653,653,BHL2008,BHL2008
Guizhou,Qingzhen,Changchonghe Yanglong Lindai summary,7185,16700,BHL2008,CM Field work
Guizhou,Qingzhen,"Changchonghe Zhaojiashan Section (""Guizhou province Aluminum Plant 2nd Changchonghe Mine Zhaojiashan Section"")",909,909,BHL2008,BHL2008
Guizhou,Qingzhen,"Daiyanlong Mine (""Guizhou province Aluminum Plant 2nd Mine Daiyanlong Mine"")",3724,3724,BHL2008,BHL2008
Guizhou,Qingzhen,Guizhou province Aluminum Plant 2nd Mine A,3009,3009,BHL2008,BHL2008
Guizhou,Qingzhen,Guizhou province Aluminum Plant 2nd Mine B,8313,8313,BHL2008,BHL2008
Guizhou,Qingzhen,"Huangni Al-Fe Mine (""Qingzhen City Liwei County Huangni Al-Fe Mine"")",378,378,BHL2008,BHL2008
Guizhou,Qingzhen,"Huangnitian Mine (""Qingzhen City Huangnitian Mine"")",2330,2330,BHL2008,BHL2008
Guizhou,Qingzhen,Maiba,12000,14890,?????????????????? https://news.cnal.com/2013/12-06/1386298935355471.shtml,CM Field work
Guizhou,Qingzhen,Maige (Summary),8009,8009,BHL2008,BHL2008
Guizhou,Qingzhen,Maochang Bx Mine,191769,191769,BHL2008 & ????????????????2011-2015?),BHL2008 & ????????????????2011-2015?)
Guizhou,Qingzhen,Once exploited by Guizhou province PLA7578 Refractory,6014,6014,BHL2008,BHL2008
Guizhou,Qingzhen,"Provincial Geological Prospecting Bureau Team 115 ""57"" Mine",7050,7050,BHL2008,BHL2008
Guizhou,Qingzhen,Tanguanyao summary,5307.2,6159.5,"??????????????????????????, http://www.gzgtzy.gov.cn/Html/2016/12/30/20161230_093035_43504.html","??????????????????????????, http://www.gzgtzy.gov.cn/Html/2016/12/30/20161230_093035_43504.html"
Guizhou,Qingzhen,Weicheng summary,5955,5955,BHL2008,BHL2008
Guizhou,Qingzhen,"Yangjiazhuang Mine (""Qingzhen City Yangjiazhuang Mine"")",8504,8504,BHL2008,BHL2008
Guizhou,Qingzhen,"Zhaijie Shimen Bauxite Mine (""Qingzhen City Zhaijie Shimen Bauxite Mine"")",136,136,BHL2008,BHL2008
Guizhou,Qingzhen,Zhuangzi Al-Fe Mines summary,394,394,BHL2008,BHL2008
Guizhou,Qingzhen,Gubadang Bauxite Mine,1217.5,1217.5,????????????????????? http://www.docin.com/p-1174234514.html,????????????????????? http://www.docin.com/p-1174234514.html
Guizhou,Qingzhen,Xinjie-Wulaoshan,4131.5,4131.5,????????-?????????? http://www.zgkyb.com/zhaokuang/20150914_21401.htm,????????-?????????? http://www.zgkyb.com/zhaokuang/20150914_21401.htm
Guizhou,Qingzhen,Weicheng Changchong,19840,19840,"?????????????? ?????1984??, http://www.chinaunsv.com/html/2015/news_0827/15301.html","?????????????? ?????1984??, http://www.chinaunsv.com/html/2015/news_0827/15301.html"
Guizhou,Qingzhen,Liwo village Jindachong Bx mine,1725,1725,????????????????????????????????? http://www.mlr.gov.cn/zwgk/zzrz/dk/kygs/201510/P020151009363766290376.pdf,????????????????????????????????? http://www.mlr.gov.cn/zwgk/zzrz/dk/kygs/201510/P020151009363766290376.pdf
Guizhou,Qingzhen,Zhanjie Wangjiashan Bx mine,523.6,523.6,???????????????????10?t/a?????????? http://www.gzhjbh.gov.cn/00939062-3/B/05/01/743711.shtml,???????????????????10?t/a?????????? http://www.gzhjbh.gov.cn/00939062-3/B/05/01/743711.shtml
Guizhou,Weng'an,Weng'an County Yanmen Bauxite Mine,72,72,BHL2008,BHL2008
Guizhou,Weng'an,Weng'an County Yanmen Mine,1499,1499,BHL2008,BHL2008
Guizhou,Weng'an,Caotang Laozhaizi Bauxite Mine,2580,2580,??????????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/07/08/20160708_111141_41038.html,??????????????????????????????????????? http://www.gzgtzy.gov.cn/Html/2016/07/08/20160708_111141_41038.html
Guizhou,Weng'an,Liangchahe - Sujiatang,0,7172.9,???????????—??????????????????????? http://www.gzgtzy.gov.cn/Html/2016/05/19/20160519_180028_40146.html,???????????—??????????????????????? http://www.gzgtzy.gov.cn/Html/2016/05/19/20160519_180028_40146.html
Guizhou,Weng'an,Shihushan bauxite mine,1652.8,3013.4,??????????????????????????????? http://www.gzgtzy.gov.cn/Html/2017/03/31/20170331_114631_44576.htm,??????????????????????????????? http://www.gzgtzy.gov.cn/Html/2017/03/31/20170331_114631_44576.htm
Guizhou,Wuchuan,Dazhuyuan Bx Mine,63000,63000,"CM Field Study Dec 2015, ????????????????. http://www.shumx.com/jiaoyi1_detail/id/775.html","CM Field Study Dec 2015, ????????????????. http://www.shumx.com/jiaoyi1_detail/id/775.html"
Guizhou,Wuchuan,Wachangping Bx Mine,38900,38900,CM Field Study,CM Field Study
Guizhou,Wuchuan,Un-assigned,,18100,???????????????????????????????  http://www.chinadaily.com.cn/dfpd/guizhou_caijing/2011-09-27/content_3905706.html,???????????????????????????????  http://www.chinadaily.com.cn/dfpd/guizhou_caijing/2011-09-27/content_3905706.html
Guizhou,Xifeng,Guizhou province Xifeng County Hongda Company Hongfeng Bauxite Mine,95,95,BHL2008,BHL2008
Guizhou,Xifeng,"Guizhou province Xifeng County Hotspring Ore Resources Develop Co., Ltd. Ganzi Bauxite Mine",437,437,BHL2008,BHL2008
Guizhou,Xifeng,Xifeng County Fengyuan Bauxite Mine Plant Dashan Bauxite Mine,118,118,BHL2008,BHL2008
Guizhou,Xifeng,Xifeng County Wenquan Town Ore Product CompanyYi'an Bauxite Mine,288,288,BHL2008,BHL2008
Guizhou,Xifeng,Xifeng County Wujiang Mine,921,921,BHL2008,BHL2008
Guizhou,Xiuwen,Gupu,4034,5048,"?????????????????????, http://www.xiuwen.gov.cn/XWGOV/B/01/9187.shtml, ????????, http://www.docin.com/p-516544345.html, ?????????? ?????????????????????, http://www.gzgtzy.gov.cn/Html/2010/12/21/20101221_094241_19622.html, , http://www.hbj.anshun.gov.cn/images/hjgl/hjpj/jsxmgl/jsxmslgs/2015/12/11/131bc1be-f886-47c5-8271-a9c1084340b6.pdf","?????????????????????, http://www.xiuwen.gov.cn/XWGOV/B/01/9187.shtml, ????????, http://www.docin.com/p-516544345.html, ?????????? ?????????????????????, http://www.gzgtzy.gov.cn/Html/2010/12/21/20101221_094241_19622.html, , http://www.hbj.anshun.gov.cn/images/hjgl/hjpj/jsxmgl/jsxmslgs/2015/12/11/131bc1be-f886-47c5-8271-a9c1084340b6.pdf"
Guizhou,Xiuwen,Xiaoshanba,13794,15100,"?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html, ?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html","?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html, ?????????????????, http://www.dalilvcai.com/teach/show.php?itemid-492.html"
Guizhou,Xiuwen,CHALCO Guizhou province 1st Bauxite Mine,16578,16578,BHL2008,BHL2008
Guizhou,Xiuwen,Ganba,9395,9395,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html
Guizhou,Xiuwen,Longchang Ganba two-five Team,4920.2,4920.2,???????????????? http://www.bidnews.cn/xiangmu/zhaobiao-49914.html,???????????????? http://www.bidnews.cn/xiangmu/zhaobiao-49914.html
Guizhou,Xiuwen,Xiuwen County Dadouchang Mine,8556,8556,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Changchong Mine,8630,8630,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html
Guizhou,Xiuwen,Guiyang City Xiuwen County Shunda Ore Products Shop Xiaotun Mine,221,221,BHL2008,BHL2008
Guizhou,Xiuwen,Guiyang CityXiuwen County Shundajindong Mine,492,492,BHL2008,BHL2008
Guizhou,Xiuwen,Guizhou province Aluminum Plant1st Mine,60,60,BHL2008,BHL2008
Guizhou,Xiuwen,Guizhou province Xiuwen County Refactory Longchang Town Qingshuitang Bauxite Mine,552,552,BHL2008,BHL2008
Guizhou,Xiuwen,"PLA0276army once exploited, stop production now.",46,46,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Bainitian Bauxite Mine Calcination Plant,182,182,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Chengguanzhen Yangjiazhai Village Honghuang Bauxite Mine,2024,2024,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Yinding,201,574,CM Research - geology note,CM Research - geology note
Guizhou,Xiuwen,Xiuwen County Mining Development and Service Company Keshuipo Mine,215,215,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Muli Mine,7877,7877,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Non-ferrous Bauxite Mine,104,104,BHL2008,BHL2008
Guizhou,Xiuwen,Guizhou province Shaozishao Fruit Tree Garden,120,120,BHL2008,BHL2008
Guizhou,Xiuwen,Xiuwen County Sanfeng Al-Fe Mine,340,340,BHL2008,BHL2008
